Sl.,Voucher No.,Trans. Date,Value Date,Narration,Dr,Cr
364,JT5070,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772275// RFX30VTQU280DB8//14000010000/BTK/32987.000                                                                       ,267.75,0
365,JT5079,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772282// RFX41QRULVLGKIA//14000010000/BTK/55283.000                                                                       ,448.72,0
366,JT5208,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772308// RFX30ZWJS6K721T//14000010000/BTK/99792.000                                                                       ,810,0
367,JT5233,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772334// RFX669HOYBRHXPP//14000010000/BTK/88640.000                                                                       ,719.48,0
368,JT5251,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772336// RFX3552ZFUL5ICJ//14000010000/BTK/74952.000                                                                       ,608.37,0
369,JT5262,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772347// RFX663Y2C824FWU//14000010000/BTK/55123.000                                                                       ,447.42,0
370,JT5360,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772427// RFX660IT9IL358P//14000010000/BTK/30193.000                                                                       ,245.07,0
371,JT5462,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772504// RFX66ZV26S0K3GF//14000010000/BTK/34348.000                                                                       ,278.79,0
372,JT5471,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772507// RFX30I7SZ15Q6DA//14000010000/BTK/49896.000                                                                       ,405,0
373,JT5542,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772580// RFX41D6BYWTZ1DD//14000010000/BTK/48615.000                                                                       ,394.6,0
374,JT5543,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772579// RFX411PGWPBYPMR//14000010000/BTK/61116.000                                                                       ,496.07,0
375,JT5545,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772584// RFX66WRUTGSTC3H//14000010000/BTK/33240.000                                                                       ,269.8,0
376,JT5589,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772601// RFX66ZS83USJY1O//14000010000/BTK/55400.000                                                                       ,449.67,0
377,JT5627,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772632// RFX66MW0341TPJY//14000010000/BTK/41273.000                                                                       ,335,0
378,JT5676,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772660// RFX30REM5L0630J//14000010000/BTK/45461.000                                                                       ,369,0
379,JT5698,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772675// RFX30O7T4QQDEJB//14000010000/BTK/55440.000                                                                       ,450,0
380,JT5813,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772722// RFX30SQ1PRAJ99W//14000010000/BTK/48233.000                                                                       ,391.5,0
381,JT5821,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772735// RFX41FTUNMTIZLN//14000010000/BTK/30280.000                                                                       ,245.77,0
382,JT5853,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772755// RFX309WU4JP3AL1//14000010000/BTK/91476.000                                                                       ,742.5,0
383,JT5859,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772762// RFX667KR4WH17Y5//14000010000/BTK/75012.000                                                                       ,608.86,0
384,JT5860,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772763// RFX6681WXYG9ONT//14000010000/BTK/55400.000                                                                       ,449.67,0
385,JT5894,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772771// RFX66XN5SZDRELH//14000010000/BTK/39888.000                                                                       ,323.76,0
386,JT5928,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772809// RFX66WHKIDJMUS7//14000010000/BTK/50137.000                                                                       ,406.95,0
387,JT5953,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772824// RFX30N0H3FKAGWJ//14000010000/BTK/55163.000                                                                       ,447.75,0
388,JT5954,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772825// RFX669026XK8CW8//14000010000/BTK/77560.000                                                                       ,629.54,0
389,JT5959,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772834// RFX41XIOKQESF7R//14000010000/BTK/35836.000                                                                       ,290.87,0
390,JT5990,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772842// RFX35JFP9H7OUCN//14000010000/BTK/50018.000                                                                       ,405.99,0
391,JT6024,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772854// RFX6631UMWI4XLJ//14000010000/BTK/36010.000                                                                       ,292.28,0
392,JT6056,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772861// RFX414JYB9JZZ3S//14000010000/BTK/20557.000                                                                       ,166.85,0
393,JT6071,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772871// RFX41QWDJ7MHIJD//14000010000/BTK/41670.000                                                                       ,338.23,0
394,JT6086,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772882// RFX66YF49P3KXUO//14000010000/BTK/31578.000                                                                       ,256.31,0
395,JT6177,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772916// RFX66DHZKZ1CZFB//14000010000/BTK/100025.000                                                                      ,811.89,0
396,JT6251,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772967// RFX66UD72LRGOEY//14000010000/BTK/27423.000                                                                       ,222.58,0
397,JT6286,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772984// RFX35LNHB07IXPU//14000010000/BTK/60924.000                                                                       ,494.51,0
398,JT6288,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772986// RFX350J4V0P4DQA//14000010000/BTK/55388.000                                                                       ,449.57,0
399,JT6295,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772991// RFX66OCCOYAPS80//14000010000/BTK/50026.000                                                                       ,406.05,0
400,JT6317,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216772993// RFX66CC7W8REGQI//14000010000/BTK/31855.000                                                                       ,258.56,0
401,JT6350,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773019// RFX30A86R4DZVTF//14000010000/BTK/25226.000                                                                       ,204.75,0
402,JT6355,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773024// RFX665L4ZYL6ITI//14000010000/BTK/31578.000                                                                       ,256.31,0
403,JT6356,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773025// RFX35AAKTTPYITO//14000010000/BTK/63415.000                                                                       ,514.73,0
404,JT6532,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773134// RFX30RXVWQZ22TG//14000010000/BTK/24948.000                                                                       ,202.5,0
405,JT6586,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773165// RFX30T9AJ6W7L12//14000010000/BTK/33264.000                                                                       ,270,0
406,JT6588,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773166// RFX66QCZOASZLF2//14000010000/BTK/34154.000                                                                       ,277.22,0
407,JT6634,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773194// RFX30ZQFLHLDR5F//14000010000/BTK/50174.000                                                                       ,407.25,0
408,JT6658,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773215// RFX66NQSBAQ6DX7//14000010000/BTK/56508.000                                                                       ,458.66,0
409,JT6732,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773260// RFX41HO9RT4U29G//14000010000/BTK/47039.000                                                                       ,381.81,0
410,JT6758,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773264// RFX412XY34KGOQH//14000010000/BTK/70435.000                                                                       ,571.71,0
411,JT6847,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773335// RFX30Y0VX5Z6Y76//14000010000/BTK/41303.000                                                                       ,335.25,0
412,JT6871,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773361// RFX30BSO2S3M0FC//14000010000/BTK/41580.000                                                                       ,337.5,0
413,JT6876,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773366// RFX35FJ1CBT8AZZ//14000010000/BTK/124284.000                                                                      ,1008.79,0
414,JT6877,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773369// RFX35WWQ8CF7KOX//14000010000/BTK/138124.000                                                                      ,1121.13,0
415,JT6896,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773382// RFX41WCV4HUJSHH//14000010000/BTK/10017.000                                                                       ,81.3,0
416,JT6900,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773391// RFX416N6CLMLDAC//14000010000/BTK/76117.000                                                                       ,617.83,0
417,JT6998,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773415// RFX66W7DYW5JG8J//14000010000/BTK/35733.000                                                                       ,290.04,0
418,JT7272,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773533// RFX303F1RUJUBME//14000010000/BTK/44352.000                                                                       ,360,0
419,JT7291,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773551// RFX413BG411AO7O//14000010000/BTK/171649.000                                                                      ,1393.25,0
420,JT7324,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773587// RFX41OBA3EC06CD//14000010000/BTK/59131.000                                                                       ,479.95,0
421,JT7392,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773644// RFX301939NHXRMZ//14000010000/BTK/38808.000                                                                       ,315,0
422,JT7686,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773790// RFX30VPKUZCV7TA//14000010000/BTK/49896.000                                                                       ,405,0
423,JT8020,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773975// RFX30M0O9O6QDFZ//14000010000/BTK/30492.000                                                                       ,247.5,0
424,JT8022,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773979// RFX30I52JL1HE26//14000010000/BTK/27720.000                                                                       ,225,0
425,JT8046,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216773989// RFX30FM7QIFI8IZ//14000010000/BTK/55440.000                                                                       ,450,0
426,JT8140,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216774074// RFX301TG0XQCMJ8//14000010000/BTK/53777.000                                                                       ,436.5,0
427,JT8228,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216774122// RFX307CA88IP8DS//14000010000/BTK/96688.000                                                                       ,784.8,0
428,JT8723,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216774490// RFX30DGZLK7MTIB//14000010000/BTK/80111.000                                                                       ,650.25,0
429,JT8724,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216774493// RFX30P196ROJ988//14000010000/BTK/55163.000                                                                       ,447.75,0
430,JT8766,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216774514// RFX309UR6RSOUED//14000010000/BTK/100014.000                                                                      ,811.8,0
431,JT8902,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216774597// RFX30O2IUIABHQK//14000010000/BTK/55163.000                                                                       ,447.75,0
432,JT8997,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216774619// RFX30D4QUZDU5HY//14000010000/BTK/41580.000                                                                       ,337.5,0
433,JT9093,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216774690// RFX3023RMC1EZLL//14000010000/BTK/88372.000                                                                       ,717.3,0
434,JU0379,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216775665// RFX411MQG8WIOWX//14000010000/BTK/82913.000                                                                       ,672.99,0
435,JU0482,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216775744// RFX30920U9UT1NP//14000010000/BTK/57935.000                                                                       ,470.25,0
436,JU0734,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216775918// RFX41VEYPVNL8YN//14000010000/BTK/13865.000                                                                       ,112.54,0
437,JU2190,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216776921// RFX307S2TDDGVM0//14000010000/BTK/74567.000                                                                       ,605.25,0
438,JU2218,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216776959// RFX30S0DFM0CWLN//14000010000/BTK/13860.000                                                                       ,112.5,0
439,JU2229,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216776979// RFX3097P8F9BO3K//14000010000/BTK/59321.000                                                                       ,481.5,0
440,JU2297,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216777009// RFX30XM58T4I76G//14000010000/BTK/38808.000                                                                       ,315,0
441,JU2303,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216777016// RFX30VMCFMM4ZBR//14000010000/BTK/19127.000                                                                       ,155.25,0
442,JU2319,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216777028// RFX30GX2K8SLVEG//14000010000/BTK/41303.000                                                                       ,335.25,0
443,JU2393,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216777094// RFX307GX18PKRP9//14000010000/BTK/93916.000                                                                       ,762.3,0
444,JU2956,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216777435// RFX30IYLB0FSGME//14000010000/BTK/150021.000                                                                      ,1217.7,0
445,JU3133,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216777572// RFX30X1LYDH34LG//14000010000/BTK/39086.000                                                                       ,317.25,0
446,JU3164,2-Apr-25,2-Apr-25,CASH RECD-ICTC 216777609// RFX30JV3E3LM4AA//14000010000/BTK/19959.000                                                                       ,162,0
447,JV6569,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785658// RFX66MLS035EV3P//14000010000/BTK/144040.000                                                                      ,1169.15,0
448,JV6576,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785659// RFX667QNWAH1C4G//14000010000/BTK/91311.000                                                                       ,741.16,0
449,JV6593,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785662// RFX66XIJ0G4LMCC//14000010000/BTK/83010.000                                                                       ,673.78,0
450,JV6594,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785663// RFX664PZF1TVWQP//14000010000/BTK/33204.000                                                                       ,269.51,0
451,JV6601,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785664// RFX66NE1EOWVQIX//14000010000/BTK/66131.000                                                                       ,536.77,0
452,JV6628,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785668// RFX66ABNHD0VS5O//14000010000/BTK/10791.000                                                                       ,87.58,0
453,JV6641,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785673// RFX66IU94H8VR3T//14000010000/BTK/74709.000                                                                       ,606.4,0
454,JV6653,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785678// RFX66XSL264KXXP//14000010000/BTK/41505.000                                                                       ,336.89,0
455,JV6686,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785679// RFX411OF1OFSU1F//14000010000/BTK/41625.000                                                                       ,337.86,0
456,JV6687,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785680// RFX415W6E1LVKEY//14000010000/BTK/55500.000                                                                       ,450.48,0
457,JV6699,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785682// RFX41Q2QM5RWXJL//14000010000/BTK/41393.000                                                                       ,335.98,0
458,JV6701,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785684// RFX414DQK0WIYMW//14000010000/BTK/156680.000                                                                      ,1271.75,0
459,JV6702,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785685// RFX41D9X1AEG474//14000010000/BTK/55560.000                                                                       ,450.97,0
460,JV6725,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785693// RFX66EYOHB5J3RT//14000010000/BTK/50000.000                                                                       ,405.84,0
461,JV6764,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785699// RFX66X6LHNF4UMI//14000010000/BTK/110403.000                                                                      ,896.12,0
462,JV6765,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785701// RFX4143K990BEJN//14000010000/BTK/27503.000                                                                       ,223.23,0
463,JV6801,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785707// RFX41ZUJ4277COF//14000010000/BTK/90007.000                                                                       ,730.57,0
464,JV6823,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785709// RFX4108ITZ40AYI//14000010000/BTK/36114.000                                                                       ,293.13,0
465,JV6832,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785712// RFX66Z4JPBB32AR//14000010000/BTK/33204.000                                                                       ,269.51,0
466,JV6846,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785715// RFX4119L9YHI1SI//14000010000/BTK/108898.000                                                                      ,883.91,0
467,JV6848,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785716// RFX66JSLFA4Q558//14000010000/BTK/45102.000                                                                       ,366.08,0
468,JV6858,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785718// RFX66XR0K02LANQ//14000010000/BTK/30437.000                                                                       ,247.05,0
469,JV6868,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785722// RFX41QR40BD9RI0//14000010000/BTK/80285.000                                                                       ,651.66,0
470,JV6869,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785723// RFX66T1HFQWL6OY//14000010000/BTK/77476.000                                                                       ,628.86,0
471,JV6870,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785724// RFX41DINKFI9EWU//14000010000/BTK/49655.000                                                                       ,403.04,0
472,JV6899,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785729// RFX30HIAZIZZT86//14000010000/BTK/101178.000                                                                      ,821.25,0
473,JV6900,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785731// RFX66O58XHTFU7E//14000010000/BTK/49529.000                                                                       ,402.02,0
474,JV6917,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785734// RFX66KP9XCA0LSR//14000010000/BTK/100027.000                                                                      ,811.9,0
475,JV6923,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785736// RFX661UCMBCICUS//14000010000/BTK/27393.000                                                                       ,222.34,0
476,JV6933,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785737// RFX66U5Y4ESNX0O//14000010000/BTK/50000.000                                                                       ,405.84,0
477,JV6934,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785738// RFX668PHPUL0WRU//14000010000/BTK/110403.000                                                                      ,896.12,0
478,JV6941,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785739// RFX66FBHHRGHKJN//14000010000/BTK/58660.000                                                                       ,476.13,0
479,JV6948,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785740// RFX303SEWQUAS1D//14000010000/BTK/50007.000                                                                       ,405.9,0
480,JV6950,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785742// RFX41GNHLIT7CF4//14000010000/BTK/30237.000                                                                       ,245.43,0
481,JV6951,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785743// RFX41E747S3BOL2//14000010000/BTK/44384.000                                                                       ,360.25,0
482,JV6957,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785748// RFX30XYQEGISO7P//14000010000/BTK/39086.000                                                                       ,317.25,0
483,JV6961,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785749// RFX66D5CUYCOX0V//14000010000/BTK/110403.000                                                                      ,896.12,0
484,JV6962,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785750// RFX66Z9SHTNOHB8//14000010000/BTK/63364.000                                                                       ,514.31,0
485,JV6978,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785753// RFX66MB7RMBRF0F//14000010000/BTK/100165.000                                                                      ,813.02,0
486,JV6980,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785754// RFX30FEWTJC3DZJ//14000010000/BTK/49896.000                                                                       ,405,0
487,JV6981,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785755// RFX412Q6L9A1M0A//14000010000/BTK/69450.000                                                                       ,563.71,0
488,JV6989,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785757// RFX66OEBV8W1U5P//14000010000/BTK/60852.000                                                                       ,493.92,0
489,JV6998,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785759// RFX30FIPPO4432H//14000010000/BTK/92174.000                                                                       ,748.16,0
490,JV7013,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785769// RFX41IJYUNHBS91//14000010000/BTK/86087.000                                                                       ,698.75,0
491,JV7014,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785770// RFX41SH2S6YDTOJ//14000010000/BTK/30020.000                                                                       ,243.66,0
492,JV7019,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785772// RFX66ZTQ1CFLKGU//14000010000/BTK/30027.000                                                                       ,243.72,0
493,JV7021,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785773// RFX41K2AE99I4ME//14000010000/BTK/148292.000                                                                      ,1203.66,0
494,JV7028,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785777// RFX35M7DFR0DNTS//14000010000/BTK/15219.000                                                                       ,123.53,0
495,JV7031,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785780// RFX41H95K901IYM//14000010000/BTK/97195.000                                                                       ,788.92,0
496,JV7080,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785798// RFX668XUNSPKAWC//14000010000/BTK/20005.000                                                                       ,162.37,0
497,JV7081,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785799// RFX411FCTRMC6XH//14000010000/BTK/22747.000                                                                       ,184.63,0
498,JV7101,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785805// RFX660ZEUUWRZML//14000010000/BTK/25014.000                                                                       ,203.03,0
499,JV7122,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785810// RFX41Y1OIXWXJ9S//14000010000/BTK/108026.000                                                                      ,876.83,0
500,JV7126,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785812// RFX412OFE70RJR7//14000010000/BTK/27440.000                                                                       ,222.72,0
501,JV7128,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785813// RFX416312VJFH2H//14000010000/BTK/27463.000                                                                       ,222.91,0
502,JV7129,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785814// RFX66OJWTYL2NMK//14000010000/BTK/55340.000                                                                       ,449.18,0
503,JV7136,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785818// RFX41U487IGOQX1//14000010000/BTK/83310.000                                                                       ,676.21,0
504,JV7137,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785822// RFX66A6FVGZRTGB//14000010000/BTK/30160.000                                                                       ,244.8,0
505,JV7147,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785823// RFX69LGL6EGWHH2//14000010000/BTK/48793.000                                                                       ,396.04,0
506,JV7148,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785825// RFX416IZ0PS6ZT7//14000010000/BTK/97195.000                                                                       ,788.92,0
507,JV7158,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785828// RFX30YZ8RMNAJKU//14000010000/BTK/68998.000                                                                       ,560.04,0
508,JV7164,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785830// RFX66CGWJ29ML15//14000010000/BTK/48699.000                                                                       ,395.28,0
509,JV7165,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785833// RFX32BBMETAFANV//14000010000/BTK/164760.000                                                                      ,1337.33,0
510,JV7178,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785834// RFX30JFBZWXOYUZ//14000010000/BTK/60707.000                                                                       ,492.75,0
511,JV7182,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785840// RFX51KEX5WQ0QBF//14000010000/BTK/82678.000                                                                       ,671.08,0
512,JV7232,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785843// RFX41WIDA4F0TLR//14000010000/BTK/52725.000                                                                       ,427.96,0
513,JV7233,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785845// RFX306CEC8CSGE1//14000010000/BTK/30204.000                                                                       ,245.16,0
514,JV7234,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785847// RFX668P7B73RM5F//14000010000/BTK/109850.000                                                                      ,891.63,0
515,JV7273,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785865// RFX41TLAV9E65LA//14000010000/BTK/55540.000                                                                       ,450.81,0
516,JV7274,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785868// RFX41VH0KQMRYSU//14000010000/BTK/41595.000                                                                       ,337.62,0
517,JV7295,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785869// RFX414S6NJW807O//14000010000/BTK/30525.000                                                                       ,247.76,0
518,JV7298,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785876// RFX41LYDX3TM2X7//14000010000/BTK/69425.000                                                                       ,563.51,0
519,JV7309,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785885// RFX66MXQR4YY00E//14000010000/BTK/100027.000                                                                      ,811.9,0
520,JV7355,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785904// RFX418CC4BOV94Y//14000010000/BTK/194390.000                                                                      ,1577.84,0
521,JV7387,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785908// RFX41PQ9BLMY1TU//14000010000/BTK/55263.000                                                                       ,448.56,0
522,JV7389,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785916// RFX41XQCVHJHI5X//14000010000/BTK/96918.000                                                                       ,786.67,0
523,JV7421,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785929// RFX66XA52LLHIVG//14000010000/BTK/55340.000                                                                       ,449.18,0
524,JV7422,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785931// RFX356XEVHC15ZO//14000010000/BTK/30465.000                                                                       ,247.28,0
525,JV7462,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785949// RFX66J0TL7I8JAA//14000010000/BTK/60597.000                                                                       ,491.85,0
526,JV7654,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785986// RFX30BSRYNCXK53//14000010000/BTK/33252.000                                                                       ,269.9,0
527,JV7657,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785989// RFX66Q4YUVCM0HN//14000010000/BTK/146374.000                                                                      ,1188.1,0
528,JV7659,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216785990// RFX41U148T08ZHC//14000010000/BTK/115812.000                                                                      ,940.03,0
529,JV7803,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216786028// RFX51CYA34FRFQ0//14000010000/BTK/63641.000                                                                       ,516.56,0
530,JV7893,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216786060// RFX4113O749PID1//14000010000/BTK/33047.000                                                                       ,268.23,0
531,JV7929,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216786071// RFX30FJTA7MKBRB//14000010000/BTK/63456.000                                                                       ,515.06,0
532,JV8102,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216786109// RFX30W24BCR2DUJ//14000010000/BTK/100000.000                                                                      ,811.68,0
533,JV8108,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216786113// RFX410MYYNPE2X1//14000010000/BTK/138850.000                                                                      ,1127.02,0
534,JV8176,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216786126// RFX30DAU4KQ01PH//14000010000/BTK/100006.000                                                                      ,811.73,0
535,JV8183,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216786133// RFX35KNIZ2VCHXS//14000010000/BTK/72100.000                                                                       ,585.22,0
536,JV8223,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216786149// RFX418HZ94Q4TYJ//14000010000/BTK/138850.000                                                                      ,1127.02,0
537,JV8227,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216786152// RFX35XKQHVJCXYJ//14000010000/BTK/20014.000                                                                       ,162.45,0
538,JV8305,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216786209// RFX41G11UEMSXXG//14000010000/BTK/99695.000                                                                       ,809.21,0
539,JV8519,3-Apr-25,3-Apr-25,CASH RECD-ICTC 216786330// RFX412OW6ZHAFUO//14000010000/BTK/54013.000                                                                       ,438.41,0
